t,date,0_y,13_y,20_y
0,2020-03-03,,,
1,2020-03-04,,,
2,2020-03-05,,,
3,2020-03-06,,,
4,2020-03-07,,,
5,2020-03-08,,,
6,2020-03-09,,,
7,2020-03-10,,,
8,2020-03-11,,,
9,2020-03-12,,,
10,2020-03-13,,,
11,2020-03-14,,,
12,2020-03-15,,,
13,2020-03-16,,,
14,2020-03-17,,,
15,2020-03-18,,,
16,2020-03-19,,,
17,2020-03-20,,,
18,2020-03-21,,,
19,2020-03-22,,,
20,2020-03-23,,,
21,2020-03-24,,,
22,2020-03-25,,,
23,2020-03-26,,,
24,2020-03-27,,,
25,2020-03-28,,,
26,2020-03-29,,,
27,2020-03-30,,,
28,2020-03-31,,,
29,2020-04-01,2603.0,3992.0,4113.0
30,2020-04-02,3224.0,4578.0,4716.0
31,2020-04-03,3891.0,5236.0,5429.0
32,2020-04-04,4449.0,5984.0,6284.0
33,2020-04-05,4857.0,6668.0,7011.0
34,2020-04-06,5616.0,7341.0,7745.0
35,2020-04-07,6447.0,8172.0,8552.0
36,2020-04-08,7214.0,9025.0,9468.0
37,2020-04-09,8084.0,9770.0,10271.0
38,2020-04-10,8906.0,10571.0,11003.0
39,2020-04-11,9564.0,11490.0,11764.0
40,2020-04-12,10232.0,12197.0,12502.0
41,2020-04-13,10976.0,12877.0,13162.0
42,2020-04-14,11627.0,13527.0,13815.0
43,2020-04-15,12367.0,14241.0,14544.0
44,2020-04-16,13104.0,14912.0,15270.0
45,2020-04-17,13887.0,15520.0,15918.0
46,2020-04-18,14370.0,16103.0,16493.0
47,2020-04-19,14797.0,16679.0,17011.0
48,2020-04-20,15575.0,17226.0,17584.0
49,2020-04-21,16240.0,17747.0,18099.0
50,2020-04-22,16754.0,18297.0,18604.0
51,2020-04-23,17341.0,18860.0,19062.0
52,2020-04-24,18052.0,19348.0,19493.0
53,2020-04-25,18388.0,19735.0,19879.0
54,2020-04-26,18716.0,20103.0,20251.0
55,2020-04-27,19263.0,20465.0,20591.0
56,2020-04-28,19707.0,20862.0,20930.0
57,2020-04-29,20098.0,21219.0,21256.0
58,2020-04-30,20451.0,21537.0,21562.0
59,2020-05-01,20821.0,21842.0,21865.0
60,2020-05-02,21148.0,22113.0,22132.0
61,2020-05-03,21353.0,22357.0,22398.0
62,2020-05-04,21719.0,22603.0,22649.0
63,2020-05-05,22050.0,22848.0,22904.0
64,2020-05-06,22433.0,23105.0,23166.0
65,2020-05-07,22765.0,23351.0,23420.0
66,2020-05-08,22972.0,23555.0,23633.0
67,2020-05-09,23150.0,23752.0,23854.0
68,2020-05-10,23359.0,23970.0,24058.0
69,2020-05-11,23709.0,24126.0,24243.0
70,2020-05-12,23953.0,24312.0,24448.0
71,2020-05-13,24160.0,24480.0,24650.0
72,2020-05-14,24346.0,24662.0,24838.0
73,2020-05-15,24527.0,24839.0,25014.0
74,2020-05-16,24618.0,25036.0,25183.0
75,2020-05-17,24740.0,25187.0,25320.0
76,2020-05-18,24914.0,25358.0,25474.0
77,2020-05-19,25080.0,25526.0,
78,2020-05-20,25267.0,25738.0,
79,2020-05-21,25388.0,25897.0,
80,2020-05-22,25545.0,26025.0,
81,2020-05-23,25692.0,26150.0,
82,2020-05-24,25751.0,26263.0,
83,2020-05-25,25867.0,26399.0,
84,2020-05-26,26050.0,,
85,2020-05-27,26235.0,,
86,2020-05-28,26384.0,,
87,2020-05-29,26530.0,,
88,2020-05-30,26615.0,,
89,2020-05-31,26723.0,,
90,2020-06-01,26866.0,,
91,2020-06-02,27045.0,,
92,2020-06-03,27160.0,,
93,2020-06-04,27283.0,,
94,2020-06-05,27358.0,,
95,2020-06-06,27430.0,,
96,2020-06-07,27489.0,,
